length,width,height,image_url,path
6.69,6.69,5.63,https://m.media-amazon.com/images/I/61zeHsnnIlL.AC.jpg,images\image_00057.jpg
3.6,3.6,6.0,https://m.media-amazon.com/images/I/712tBXq3qKS.AC.jpg,images\image_00058.jpg
6.53,6.53,2.83,https://m.media-amazon.com/images/I/715douIxxZL.AC.jpg,images\image_00059.jpg
4.5,4.5,5.9,https://m.media-amazon.com/images/I/7171ebNK6fS.AC.jpg,images\image_00060.jpg
6.633858267716535,6.633858267716535,8.464566929133857,https://m.media-amazon.com/images/I/718GyzaUNTL.AC.jpg,images\image_00061.jpg
3.6,3.6,6.0,https://m.media-amazon.com/images/I/71a3qEh4NcL.AC.jpg,images\image_00062.jpg
3.5,3.5,6.3,https://m.media-amazon.com/images/I/71AN8BjYTXL.AC.jpg,images\image_00063.jpg
8.26771653543307,8.26771653543307,5.118110236220472,https://m.media-amazon.com/images/I/71b3QKnAlJL.AC.jpg,images\image_00064.jpg
4.73,4.73,7.67,https://m.media-amazon.com/images/I/71dAIm84ZcL.AC.jpg,images\image_00065.jpg
4.5,4.5,3.3,https://m.media-amazon.com/images/I/71eDONK5FwL.AC.jpg,images\image_00066.jpg
4.3,4.3,5.9,https://m.media-amazon.com/images/I/71EOpCLCu9L.AC.jpg,images\image_00067.jpg
5.1,5.1,5.5,https://m.media-amazon.com/images/I/71FrJ5gXHLS.AC.jpg,images\image_00068.jpg
4.0,4.0,5.0,https://m.media-amazon.com/images/I/71gmFYq+bML.AC.jpg,images\image_00069.jpg
5.1,5.1,5.9,https://m.media-amazon.com/images/I/71GQS3dhgcL.AC.jpg,images\image_00070.jpg
6.5,6.5,3.7,https://m.media-amazon.com/images/I/71hfdDs2YiL.AC.jpg,images\image_00071.jpg
3.6,3.6,6.0,https://m.media-amazon.com/images/I/71HkXX0gYwS.AC.jpg,images\image_00072.jpg
5.0,5.0,9.0,https://m.media-amazon.com/images/I/71M0AcBYrSL.AC.jpg,images\image_00073.jpg
6.6,6.6,4.76,https://m.media-amazon.com/images/I/71nMfuNd4fL.AC.jpg,images\image_00074.jpg
3.54,3.54,5.5,https://m.media-amazon.com/images/I/71NTg4xoafL.AC.jpg,images\image_00075.jpg
6.69,6.69,4.72,https://m.media-amazon.com/images/I/71Ol9LXqffL.AC.jpg,images\image_00076.jpg
4.6,4.6,5.6,https://m.media-amazon.com/images/I/71owAVwSkeL.AC.jpg,images\image_00077.jpg
7.244094488188975,7.244094488188975,4.960629921259842,https://m.media-amazon.com/images/I/71PHEesOIXL.AC.jpg,images\image_00078.jpg
4.52755905511811,4.52755905511811,5.748031496062992,https://m.media-amazon.com/images/I/71piBqyAEJL.AC.jpg,images\image_00079.jpg
3.6,3.6,6.0,https://m.media-amazon.com/images/I/71QMnlBtxwL.AC.jpg,images\image_00080.jpg
4.9,4.9,5.8,https://m.media-amazon.com/images/I/71s0J-Y9txS.AC.jpg,images\image_00081.jpg
6.6,6.6,4.76,https://m.media-amazon.com/images/I/71Ufkfc+17L.AC.jpg,images\image_00082.jpg
5.1,5.1,5.9,https://m.media-amazon.com/images/I/71v7RpGMtiL.AC.jpg,images\image_00083.jpg
5.1,5.1,9.6,https://m.media-amazon.com/images/I/71vDkafi39L.AC.jpg,images\image_00084.jpg
5.905511811023621,5.905511811023621,5.314960629921259,https://m.media-amazon.com/images/I/71viYXuMcDL.AC.jpg,images\image_00085.jpg
5.2,5.2,3.9,https://m.media-amazon.com/images/I/71YH5d3QWBL.AC.jpg,images\image_00086.jpg
4.0,4.0,5.0,https://m.media-amazon.com/images/I/71yHRnvP58L.AC.jpg,images\image_00087.jpg
6.5,6.5,9.4,https://m.media-amazon.com/images/I/71zycHfF9xL.AC.jpg,images\image_00088.jpg
5.1,5.1,9.0,https://m.media-amazon.com/images/I/81Aq7SCJYVL.AC.jpg,images\image_00089.jpg
4.8,4.8,5.5,https://m.media-amazon.com/images/I/81cUrJoqFNL.AC.jpg,images\image_00090.jpg
3.543307086614173,3.543307086614173,5.511811023622046,https://m.media-amazon.com/images/I/81HIlgqofOL.AC.jpg,images\image_00091.jpg
4.8,4.8,5.5,https://m.media-amazon.com/images/I/81Hn3MM9EWS.AC.jpg,images\image_00092.jpg
3.543307086614173,3.543307086614173,5.511811023622046,https://m.media-amazon.com/images/I/81jgANz0arL.AC.jpg,images\image_00093.jpg
5.1,5.1,5.9,https://m.media-amazon.com/images/I/81QFNMji4jL.AC.jpg,images\image_00094.jpg
4.29,4.29,5.63,https://m.media-amazon.com/images/I/81X2TbJSSML.AC.jpg,images\image_00095.jpg
6.692913385826771,6.692913385826771,5.62992125984252,https://m.media-amazon.com/images/I/91cu8+31LJL.AC.jpg,images\image_00096.jpg
7.086614173228346,7.086614173228346,15.74803149606299,https://m.media-amazon.com/images/I/612lP1+J01L.AC.jpg,images\image_00099.jpg
19.2,19.2,60.0,https://m.media-amazon.com/images/I/614rAQFog-L.AC.jpg,images\image_00100.jpg
19.7,19.7,20.0,https://m.media-amazon.com/images/I/617KcWhp+PL.AC.jpg,images\image_00101.jpg
6.0,6.0,48.0,https://m.media-amazon.com/images/I/619dKZsJRIS.AC.jpg,images\image_00102.jpg
24.0,24.0,60.0,https://m.media-amazon.com/images/I/61AMpPariRL.AC.jpg,images\image_00103.jpg
27.55905511811024,27.55905511811024,59.055118110236215,https://m.media-amazon.com/images/I/61elGu671mL.AC.jpg,images\image_00105.jpg
48.0,48.0,60.0,https://m.media-amazon.com/images/I/61Q8C8Y7Z+L.AC.jpg,images\image_00110.jpg
17.7,17.7,29.5,https://m.media-amazon.com/images/I/61Q9D2gZikL.AC.jpg,images\image_00111.jpg
6.0,6.0,58.8,https://m.media-amazon.com/images/I/61s8TmtSB2L.AC.jpg,images\image_00112.jpg
7.086614173228346,7.086614173228346,15.74803149606299,https://m.media-amazon.com/images/I/61Sbkm38VYL.AC.jpg,images\image_00113.jpg
4.7,4.7,7.87,https://m.media-amazon.com/images/I/61tHjs2vyrL.AC.jpg,images\image_00115.jpg
8.256,8.256,68.04,https://m.media-amazon.com/images/I/61tO7tmbl6L.AC.jpg,images\image_00116.jpg
15.74803149606299,15.74803149606299,59.055118110236215,https://m.media-amazon.com/images/I/61we7hYsicL.AC.jpg,images\image_00118.jpg
19.7,19.7,20.0,https://m.media-amazon.com/images/I/61wvUDZMvkS.AC.jpg,images\image_00119.jpg
4.0,4.0,24.0,https://m.media-amazon.com/images/I/61YxDrn20AS.AC.jpg,images\image_00120.jpg
33.0,33.0,60.0,https://m.media-amazon.com/images/I/71+5TKn6B5L.AC.jpg,images\image_00121.jpg
33.5,33.5,24.0,https://m.media-amazon.com/images/I/713M+RyZx8L.AC.jpg,images\image_00122.jpg
26.0,26.0,54.0,https://m.media-amazon.com/images/I/715VXJSjJpL.AC.jpg,images\image_00123.jpg
33.07086614173228,33.07086614173228,59.055118110236215,https://m.media-amazon.com/images/I/71c7VL7ovXL.AC.jpg,images\image_00128.jpg
14.4,14.4,24.0,https://m.media-amazon.com/images/I/71cg15pZmRL.AC.jpg,images\image_00129.jpg
25.59055118110236,25.59055118110236,47.24409448818897,https://m.media-amazon.com/images/I/71cX+wGUOgL.AC.jpg,images\image_00130.jpg
23.622047244094485,23.622047244094485,59.055118110236215,https://m.media-amazon.com/images/I/71HDxWXVKFL.AC.jpg,images\image_00134.jpg
17.716535433070863,17.716535433070863,35.433070866141726,https://m.media-amazon.com/images/I/71jjS41T-EL.AC.jpg,images\image_00136.jpg
27.0,27.0,49.99999999999999,https://m.media-amazon.com/images/I/71KrEYPdyvL.AC.jpg,images\image_00137.jpg
28.8,28.8,46.8,https://m.media-amazon.com/images/I/71LsQYHEJqL.AC.jpg,images\image_00138.jpg
19.0,19.0,36.0,https://m.media-amazon.com/images/I/71Ouqz5mDsL.AC.jpg,images\image_00141.jpg
18.0,18.0,24.0,https://m.media-amazon.com/images/I/71p-gbYBSML.AC.jpg,images\image_00143.jpg
37.0,37.0,60.0,https://m.media-amazon.com/images/I/71PYVSskuPL.AC.jpg,images\image_00144.jpg
17.0,17.0,30.0,https://m.media-amazon.com/images/I/71QIniKEJJL.AC.jpg,images\image_00145.jpg
26.0,26.0,48.0,https://m.media-amazon.com/images/I/71qpKsUH64L.AC.jpg,images\image_00146.jpg
13.779527559055117,13.779527559055117,59.055118110236215,https://m.media-amazon.com/images/I/71usXZ9AiPL.AC.jpg,images\image_00152.jpg
37.0,37.0,54.0,https://m.media-amazon.com/images/I/71wdVrBmP4L.AC.jpg,images\image_00154.jpg
19.2,19.2,36.0,https://m.media-amazon.com/images/I/71XFFNLpLCL.AC.jpg,images\image_00156.jpg
23.622047244094485,23.622047244094485,23.622047244094485,https://m.media-amazon.com/images/I/81+Suo2F9jL.AC.jpg,images\image_00158.jpg
18.0,18.0,36.0,https://m.media-amazon.com/images/I/8104Ny398vL.AC.jpg,images\image_00159.jpg
32.0,32.0,54.0,https://m.media-amazon.com/images/I/819cmLUshcL.AC.jpg,images\image_00163.jpg
33.46456692913385,33.46456692913385,59.055118110236215,https://m.media-amazon.com/images/I/81aBmvhPRML.AC.jpg,images\image_00164.jpg
38.0,38.0,54.0,https://m.media-amazon.com/images/I/81c045EEgIL.AC.jpg,images\image_00165.jpg
19.0,19.0,24.0,https://m.media-amazon.com/images/I/81dvAhN4O5L.AC.jpg,images\image_00166.jpg
16.0,16.0,60.0,https://m.media-amazon.com/images/I/81e4VWZ0SOL.AC.jpg,images\image_00167.jpg
12.0,12.0,9.5,https://m.media-amazon.com/images/I/81hoGfUNriL.AC.jpg,images\image_00169.jpg
16.0,16.0,60.0,https://m.media-amazon.com/images/I/81i6iKVPMPL.AC.jpg,images\image_00170.jpg
27.5,27.5,39.7,https://m.media-amazon.com/images/I/81knKvrCm8L.AC.jpg,images\image_00172.jpg
16.0,16.0,60.0,https://m.media-amazon.com/images/I/81OMXhp1aWL.AC.jpg,images\image_00173.jpg
24.0,24.0,60.0,https://m.media-amazon.com/images/I/81W2wlv1eWL.AC.jpg,images\image_00179.jpg
30.0,30.0,54.0,https://m.media-amazon.com/images/I/9114ht5VMOS.AC.jpg,images\image_00182.jpg
22.0,22.0,24.0,https://m.media-amazon.com/images/I/914i8meKsZL.AC.jpg,images\image_00184.jpg
16.53543307086614,16.53543307086614,25.196850393700785,https://m.media-amazon.com/images/I/91TbUWdEvoL.AC.jpg,images\image_00191.jpg
24.0,24.0,54.0,https://m.media-amazon.com/images/I/91yEQkDZ08S.AC.jpg,images\image_00192.jpg
12.0,32.0,14.0,https://m.media-amazon.com/images/I/41qgm3oPMbL.AC.jpg,images\image_00194.jpg
21.65354330708661,51.18110236220472,55.11811023622047,https://m.media-amazon.com/images/I/51-q9+YgGpL.AC.jpg,images\image_00195.jpg
27.0,52.0,44.5,https://m.media-amazon.com/images/I/5193nkFW-QL.AC.jpg,images\image_00196.jpg
19.685039370078737,62.99212598425196,45.2755905511811,https://m.media-amazon.com/images/I/51eWiKmvRaS.AC.jpg,images\image_00197.jpg
21.65354330708661,51.18110236220472,55.11811023622047,https://m.media-amazon.com/images/I/51U0sKEQV5L.AC.jpg,images\image_00198.jpg
21.65354330708661,62.59842519685039,55.11811023622047,https://m.media-amazon.com/images/I/610GhvbEbaL.AC.jpg,images\image_00199.jpg
21.65354330708661,54.92125984251968,55.11811023622047,https://m.media-amazon.com/images/I/610SjY0LXxL.AC.jpg,images\image_00200.jpg
11.0,16.0,8.8,https://m.media-amazon.com/images/I/612lmBHRaaS.AC.jpg,images\image_00201.jpg
21.65354330708661,62.59842519685039,55.11811023622047,https://m.media-amazon.com/images/I/61AMk2adh8L.AC.jpg,images\image_00202.jpg
11.811023622047244,18.89763779527559,3.3464566929133857,https://m.media-amazon.com/images/I/61H6U3mhskL.AC.jpg,images\image_00203.jpg
35.433070866141726,35.433070866141726,37.4015748031496,https://m.media-amazon.com/images/I/61ihM4Ao0AL.AC.jpg,images\image_00204.jpg
24.0,52.0,45.5,https://m.media-amazon.com/images/I/61JC1eSh0wL.AC.jpg,images\image_00205.jpg
21.65354330708661,51.18110236220472,55.11811023622047,https://m.media-amazon.com/images/I/61KEMUBaDeL.AC.jpg,images\image_00206.jpg
21.65354330708661,54.92125984251968,55.11811023622047,https://m.media-amazon.com/images/I/61lQ+mpARTL.AC.jpg,images\image_00207.jpg
12.0,18.0,13.0,https://m.media-amazon.com/images/I/61nXcUj2gPL.AC.jpg,images\image_00208.jpg
21.65354330708661,55.11811023622047,45.2755905511811,https://m.media-amazon.com/images/I/61o4HymvO1L.AC.jpg,images\image_00209.jpg
29.0,59.0,47.0,https://m.media-amazon.com/images/I/61qNf2NEElL.AC.jpg,images\image_00210.jpg
12.2,18.0,12.0,https://m.media-amazon.com/images/I/61rlVcNDqdL.AC.jpg,images\image_00211.jpg
11.614173228346456,20.47244094488189,4.330708661417322,https://m.media-amazon.com/images/I/61ToazVw9vL.AC.jpg,images\image_00212.jpg
11.9,20.3,4.3,https://m.media-amazon.com/images/I/61TxT+2pDiL.AC.jpg,images\image_00213.jpg
21.65354330708661,54.92125984251968,55.11811023622047,https://m.media-amazon.com/images/I/61v-2SO+ToL.AC.jpg,images\image_00214.jpg
22.4,63.8,34.6,https://m.media-amazon.com/images/I/61vlLa2xbmL.AC.jpg,images\image_00215.jpg
17.716535433070863,17.716535433070863,13.385826771653544,https://m.media-amazon.com/images/I/61Yex1BLOdL.AC.jpg,images\image_00216.jpg
27.952755905511808,40.15748031496063,22.047244094488185,https://m.media-amazon.com/images/I/61ZqMqvoOlS.AC.jpg,images\image_00217.jpg
35.433070866141726,35.433070866141726,37.4015748031496,https://m.media-amazon.com/images/I/710mRJR+Z7L.AC.jpg,images\image_00218.jpg
21.0,43.0,40.0,https://m.media-amazon.com/images/I/710uLhfO3CS.AC.jpg,images\image_00219.jpg
10.6,11.6,18.5,https://m.media-amazon.com/images/I/711iyfUa47L.AC.jpg,images\image_00220.jpg
9.0,19.5,4.7,https://m.media-amazon.com/images/I/712pgGb-sDL.AC.jpg,images\image_00221.jpg
10.8,16.3,7.7,https://m.media-amazon.com/images/I/71AhTvou7qL.AC.jpg,images\image_00222.jpg
21.7,47.6,46.1,https://m.media-amazon.com/images/I/71AZlow5qRL.AC.jpg,images\image_00223.jpg
23.50393700787401,24.606299212598422,37.59842519685039,https://m.media-amazon.com/images/I/71B66Z9E-vS.AC.jpg,images\image_00224.jpg
14.4,23.2,8.7,https://m.media-amazon.com/images/I/71bcTKab7VL.AC.jpg,images\image_00225.jpg
16.3,25.0,7.9,https://m.media-amazon.com/images/I/71BkgPz4lJL.AC.jpg,images\image_00226.jpg
12.0,20.5,10.2,https://m.media-amazon.com/images/I/71hhJlwSIAL.AC.jpg,images\image_00227.jpg
13.0,29.0,6.3,https://m.media-amazon.com/images/I/71idPJY96RL.AC.jpg,images\image_00228.jpg
27.0,52.0,44.5,https://m.media-amazon.com/images/I/71j4AWY+B7L.AC.jpg,images\image_00229.jpg
20.866141732283463,51.18110236220472,43.7007874015748,https://m.media-amazon.com/images/I/71k7iJBzxUL.AC.jpg,images\image_00230.jpg
11.8,19.5,7.7,https://m.media-amazon.com/images/I/71LiGBjQxQL.AC.jpg,images\image_00231.jpg
22.5,25.0,39.5,https://m.media-amazon.com/images/I/71LVSwyNWSL.AC.jpg,images\image_00232.jpg
8.26771653543307,8.26771653543307,7.48031496062992,https://m.media-amazon.com/images/I/71M3Dd37K6L.AC.jpg,images\image_00233.jpg
12.047244094488187,15.393700787401574,5.078740157480315,https://m.media-amazon.com/images/I/71OK0kW-bmL.AC.jpg,images\image_00234.jpg
9.0,19.0,5.0,https://m.media-amazon.com/images/I/71RmnOppCUL.AC.jpg,images\image_00235.jpg
22.5,27.0,39.5,https://m.media-amazon.com/images/I/71scjQzb9IL.AC.jpg,images\image_00236.jpg
20.866141732283463,51.18110236220472,43.7007874015748,https://m.media-amazon.com/images/I/71u7+0DdjxL.AC.jpg,images\image_00237.jpg
14.0,14.0,15.0,https://m.media-amazon.com/images/I/71x-8YACwyL.AC.jpg,images\image_00238.jpg
21.7,66.1,36.6,https://m.media-amazon.com/images/I/71y7lungafL.AC.jpg,images\image_00239.jpg
14.0,14.0,15.0,https://m.media-amazon.com/images/I/814RD5j0H2L.AC.jpg,images\image_00240.jpg
11.1,19.7,4.7,https://m.media-amazon.com/images/I/819TWGQr+EL.AC.jpg,images\image_00241.jpg
13.38,13.38,7.0,https://m.media-amazon.com/images/I/81B0tSBbZtL.AC.jpg,images\image_00242.jpg
11.1,19.7,4.7,https://m.media-amazon.com/images/I/81E+EDdxi7L.AC.jpg,images\image_00243.jpg
20.47244094488189,33.85826771653543,31.88976377952756,https://m.media-amazon.com/images/I/81FA0GpFWPL.AC.jpg,images\image_00244.jpg
12.4,16.73,6.81,https://m.media-amazon.com/images/I/81FEzgf9X9L.AC.jpg,images\image_00245.jpg
12.4,16.73,6.81,https://m.media-amazon.com/images/I/81ftnT5rzGL.AC.jpg,images\image_00246.jpg
40.0,22.0,44.0,https://m.media-amazon.com/images/I/81IWuVqDDvL.AC.jpg,images\image_00247.jpg
13.38,13.38,7.0,https://m.media-amazon.com/images/I/81jnwXIUJ9L.AC.jpg,images\image_00248.jpg
11.1,19.7,4.7,https://m.media-amazon.com/images/I/81MhUn7nMKL.AC.jpg,images\image_00249.jpg
22.440944881889763,15.354330708661417,15.354330708661417,https://m.media-amazon.com/images/I/81nQJQG9kRL.AC.jpg,images\image_00250.jpg
16.0,13.0,7.0,https://m.media-amazon.com/images/I/81NY1sHfmiL.AC.jpg,images\image_00251.jpg
27.0,46.0,47.0,https://m.media-amazon.com/images/I/81SWYQwJEEL.AC.jpg,images\image_00252.jpg
31.0,45.0,47.0,https://m.media-amazon.com/images/I/81VbmJMD0sS.AC.jpg,images\image_00253.jpg
16.0,16.0,17.5,https://m.media-amazon.com/images/I/81w31py2PrL.AC.jpg,images\image_00254.jpg
17.0,21.5,13.0,https://m.media-amazon.com/images/I/81wU9fO78eL.AC.jpg,images\image_00255.jpg
12.0,18.0,13.0,https://m.media-amazon.com/images/I/81ZToS4tF6L.AC.jpg,images\image_00256.jpg
7.874015748031495,17.32283464566929,18.11023622047244,https://m.media-amazon.com/images/I/91TF60dKJeL.AC.jpg,images\image_00257.jpg
6.7,6.7,9.4,https://m.media-amazon.com/images/I/41heKHOLnWL.AC.jpg,images\image_00258.jpg
12.5,15.8,10.0,https://m.media-amazon.com/images/I/41utW58LflL.AC.jpg,images\image_00259.jpg
11.0,15.0,9.8,https://m.media-amazon.com/images/I/516fgjSlQvL.AC.jpg,images\image_00260.jpg
11.0,11.0,11.0,https://m.media-amazon.com/images/I/517UStmXIPL.AC.jpg,images\image_00261.jpg
7.48031496062992,9.842519685039369,3.937007874015748,https://m.media-amazon.com/images/I/51LdDrC5G0L.AC.jpg,images\image_00262.jpg
4.5,11.25,4.75,https://m.media-amazon.com/images/I/51SPc45X++L.AC.jpg,images\image_00263.jpg
11.0,11.0,11.0,https://m.media-amazon.com/images/I/61+BgBDmu3L.AC.jpg,images\image_00264.jpg
7.8,11.8,5.1,https://m.media-amazon.com/images/I/61+qlesDL-S.AC.jpg,images\image_00265.jpg
11.0,11.0,11.0,https://m.media-amazon.com/images/I/614bEKW7GKL.AC.jpg,images\image_00266.jpg
7.36,10.72,5.39,https://m.media-amazon.com/images/I/614dJDVheGL.AC.jpg,images\image_00267.jpg
7.36,10.72,5.39,https://m.media-amazon.com/images/I/616Nc2ZBl-L.AC.jpg,images\image_00268.jpg
10.6,15.0,9.4,https://m.media-amazon.com/images/I/617f9Jk8-4S.AC.jpg,images\image_00269.jpg
11.0,19.7,7.9,https://m.media-amazon.com/images/I/61bNbgYV1aS.AC.jpg,images\image_00270.jpg
8.3,12.2,6.3,https://m.media-amazon.com/images/I/61C-Bb8rlCL.AC.jpg,images\image_00271.jpg
10.2,14.2,7.1,https://m.media-amazon.com/images/I/61c5u78nsoS.AC.jpg,images\image_00272.jpg
11.42,15.35,9.84,https://m.media-amazon.com/images/I/61cCTbXjqRL.AC.jpg,images\image_00273.jpg
7.36,10.72,5.39,https://m.media-amazon.com/images/I/61Efp0FEj5L.AC.jpg,images\image_00274.jpg
10.5,10.5,6.0,https://m.media-amazon.com/images/I/61ESOrW7XIS.AC.jpg,images\image_00275.jpg
12.5,15.8,10.0,https://m.media-amazon.com/images/I/61FEsRptpKS.AC.jpg,images\image_00276.jpg
9.8,9.8,2.6,https://m.media-amazon.com/images/I/61iiRFWaWNL.AC.jpg,images\image_00277.jpg
7.9,11.8,5.2,https://m.media-amazon.com/images/I/61KDHnsrnmS.AC.jpg,images\image_00278.jpg
11.75,14.0,5.25,https://m.media-amazon.com/images/I/61KNRLl4TgS.AC.jpg,images\image_00279.jpg
7.36,10.72,5.39,https://m.media-amazon.com/images/I/61N05B2z9UL.AC.jpg,images\image_00280.jpg
11.7,14.5,7.0,https://m.media-amazon.com/images/I/61PemqPgDoS.AC.jpg,images\image_00281.jpg
12.0,14.0,8.75,https://m.media-amazon.com/images/I/61Q3D9paqPS.AC.jpg,images\image_00282.jpg
10.5,15.2,5.9,https://m.media-amazon.com/images/I/61R9shV+XQL.AC.jpg,images\image_00283.jpg
